SMS,Sentiment
"بمناسبة اليوم الوطني خصم ثابت 35%على كل شي مع توصيل مجاني
bit.ly/SN-22",1
"حياكم بمعرض لابونتا للمطابخ والخزائن داخل ميداس الرياض
bit.ly/Lpt22",1
"من ميداس لأهل الكرم خصم إضافي10%+ تخزين شهرين+ توصيل مجاني
bit.ly/as-7",1
"خصم يوم التأسيس من ميداس 22% والضريبة علينا وتوصيل مجاني
bit.ly/Ks-1",1
مقهى يوڤيا في الشيخ أڤنيو يقدم خصم 20% لمنسوبي وطلاب وطالبات الجامعة,1
"مجمع اكاديمية الحقيل تقدم حصرياً لمنسوبي الجامعة
 https://offeralhokail.com/alhokail-khobar",1
"إشترك الآن واحصل على شهرين مجاناُ! 
استمتع بأكبر محتوى من الموسيقى العربية والعالمية مع بيانات مجانية لامحدودة على أنغامي بلس مقابل 25 ريال شهرياً.

للإشتراك اضغط على الرابط التالي:

https://plus.anghami.com/subscribe/operators/zainksa/673

أو أرسل 3 إلى 702770",1
"كن من المحظوظين لحضور حفل الرابر  RUSS في عمَان. اشترك بأنغامي بلس عبر إرسال 3  إلى 702770 واحصل على شهرين مجانا أو اضغط على الرابط التالي: https://plus.anghami.com/subscribe/operators/zainksa/673

Be the selected winner to attend RUSS event in Amman on August 1st.
Subscribe to Anghami Plus by sending 3 to 702770 and get 2 months Anghami Plus for FREE.
Or click here: https://plus.anghami.com/subscribe/operators/zainksa/673",1
عيش رمضان مع أنغامي! حوّل صفحتك إلى صفحتنا الرمضانيّة واكتشف محتوى مخصصًا وفريدًا للشهر الكريم من الأناشيد والأدعية وغيرها. احصل على أسبوع مجاني من أنغامي بلَس. ارسل WW إلى 702770 – يتجدّد بـ 5 ريال / أسبوع,1
سمعت أغنية ماجد المهندس الجديدة وعرفتك؟ يلاّ اشترك بأنغامي بلَس لتسمعها بدون إعلانات أو قيود. أرسل W إلى 702770 واحصل على اسبوع مجاني. تتجدد بـ 5 ريال / الأسبوع.,1
"احتفل بالعيد مع سنة كاملة من الموسيقى بدون إعلانات والتحميل بلا حدود! اشترك بأنغامي بلَس للدخول بالسحب وفرصة الفوز بسنة كاملة ومجانية.إحصل على اسبوع مجاناً الآن.
أرسل WW إلى 702770 – يتجدّد بـ 5 ريال/ أسبوعيا",1
"استمتع بأغنية عايض  الجديدة إلى الله بدون أي إعلانات أو قيود مع أنغامي بلَس، أرسل WW  إلى  702770 واحصل على أسبوع مجاني! تتجدد الخدمة ب5 ريال بالأسبوع",1
"وصلنا لك بأسعار الجملة! 

ودك توفر بأسعار ما تتفوت؟
- أفنان
- أكوا سكاي
أيقونة “سوق الجملة” نضمن لك أحسن سعر فيها على حسب السحب.

للحين تفكر؟:
http://onelink.to/3nx6sn",1
 شلونك يمه عساك طيبة وشلونكم جميعاً,1
 الحمدلله دووم يارب الله يحفظكم,1
 سمعت القرقشة كنت ,0
 ايه كمام وقفازات والله يعين ويحفظنا,0
 ههههههه الله يحفظك ويصبحك بكل خير لكن ان شاءالله نجتمع على خير في قابل الايام,0
 خلهم يكثرون اجازات ماورانا شي الحمدلله ومن غير شر لنا,0
 وزارة الخارجية نفت الخبر,0
 خووش شغل ماشاءالله بس من جد الموسيقى مالها داعي ليتهم مسولفين احسن,0
 الحمدلله على العافية,0
 مابقى محل ماحطوه فيه,0
 ماتشوفون شر والله يستر عليكم والافضل انكم تجلسون في البيت ولا تجون تحت الى ان الامور تصير طيبه,0
 ليتهم ساكتين,0
 صادق فهد,0
 هذا بالنخيل مول الطقم ب ١٤٠٠ ريال,0
 صحيح بيكون الاربعاء والخميس عطلة نهاية اسبوع مطوله ,0
 الله يشفينا جميعاً ويعافينا ,0
 الله يجزاك خير يمه ع المعلومة,0
 الشر مايجيك يارب والله يحفظك ويحفظ الجميع,0
 الحمدلله على العافية والله يجعلنا طيبين ويرزقنا بالطيبين,0
 يحث على التربية الاسلامية,0
 شوي واحرك,0
 ماادري بس لون الكرتونه برتقالي وابيض,0
 هذا الرقم السري,0
 طيب خلاص هذا كله قبل اطلب ؟,0
 ايه ادري,0
 عادي ياقلبي ترا عندي انا,0
 يمه فيه باستا اذا تبون,0
 حبيبي قول للموظف ان السياره بإسمي وعطه اسمي كامل عشان اذا اتصلت عليه اروى,0
 الاشعه المقطعيه حقة خالد طلعت سليمه ولله الحمد,0
 اروح اخذ الاوراق ولا لا؟,0
 تقول انفذ وابلغك,0
 لازم اجيك توقعين؟,0
 لازم انا اوقع,0
 مب موجود الحارس,0
 عمر حبيبي,0
 وش صار عشان السياره,0
 وي باك برقر شلون؟,0
 امر على الشباب بعد اذا تبي,0
 لا شدعوه قلبي,0
 ذا قروب الكليه كامله ادخله,0
 اي دور الثاني ولا الثالث,0
 المحل الي رحناله نحن,0
 برسل حاجه وبطلع,0
 بسرعه هاته,0
 اذا ودك معنا ولا كيفك,0
 متى احطها,0
 شف انا ماعندي فكره وش الصح,0
 مب الواحد 28 ؟,0
 في تجميعات حق لاب كويز نتوورك؟,0
 ماله متطلب الا السنه الجايه OS لكل تخصصات,0
 يحول من الكلام اللي نكتبه مثل google الى عنوان Ip,0
 مثل لو جينا نكتب في الرابط اسم الموقع الي نبغاه او IP ادرس تبعه؟,0
 ذكروني من تخطيط احددهم وتالي تسجيل وبس؟,0
 ف احس سوي احتياط,0
 اتوقع اذا نفس الشعبة يسجلون باللي قفلت عادي لان الباقي اغلبه تعارض,0
 الا صح مسوية مكس كلهم بشعبة الا مادة بشعبة ثانية والي كلهم بشعبة تسكروا,0
 الترم الاول فية شعبة وصل العدد فيها فوق ٥٠ طالبة,0
 هالترم ما يبغون كذا يصير,0
 الترم الاول كل طلبات التوسعة انقبلت,0
 هالترم بيشوفون زي قبل الاونلاين,0
 شكلة فية حضور,0
 يمكن مو كل المواد,0
 الديجتال ايش متطلباته للسمستر الثاني ؟,0
 ماله متطلب السمستر الجاي,0
عزیزي العمیل الصراف الآلي الخاص بك محظور فا تصل ھذا الرقم ٠٥٣١٣٦٩١١٣,0
عزیزالعمیل تم حظر بطاقة الصراف الآلي الخاصة بك. لأنك لا تملك التحدیث بعد.اتصل بھذا الرقم على الفور للتحدیث ٠٥٩٤٤٥٢٤١٣,0
"عزیزالعمیل تم حظر بطاقة الصراف الآلي الخاصة بك. لأنك لا تملك التحدیث بعد.اتصل بھذا الرقم على الفور للتحدیث، ٠٥٩٧٧٢٣٢٩٣ ٠٥٦٣٥٢٠٧٧٦",1
﻿عزیز العمیل تم إغلاق بطاقھ الصرف الخاص بك محظور إذا كنت ترغب في تحدیث حسابك اتصل بھذه الأرقام 0561108380 0593374138,1
"راتب إضافي 37,200 بدون ترك عملك! ابدأ الآن https://bit.ly/2Tjfhgl",1
تنزيلات ردتاغ 20% الى 50% اكتشفوا التشكيلة https://bit.ly/2HbHZJu,1
﻿عزیزالعمیل تم حظر بطاقة الصراف الآلي الخاصة بك. لأنك لا تملك التحدیث بعد.اتصل بھذا الرقم على الفور للتحدیث ٠٥٠٧٤٩٤٤٨1,1
عزيز العميل تم حظر بطاقة الصراف اللآلي الخاصة بك. لأنك لا تملك التحديث بعد. اتصل بهذا الرقم على الفور للتحديث. 0558526232/0531268115,1
عزیزی العمیل تُم إغلَاق بَطَاقَة اَلصَرَاف اَلَالی الخَاصَة بک اذَا کنتَ ترغَب تِحدِیث اِتصَأل بھذه الرَقَم 0596577303,1
خاص متقاعد ضاعف ثروتھ خلال شھرین http://bit.ly/2vAdwRy,1
عزیز العمیل تم حظر بطاقة الصراف الآلي الخاصة بك. لأنك لا تملك التحدیث بعد. اتصل (بھذا الرقم على الفور 0552347310 0596866932,1
"عزیزالعمیل. تم حظر بطاقة الصراف الآلي الخاصة بك. لأنك لم یكن لدیك حتى الآن التحدیث. إذا كنت ، ترید عمل بطاقة الصراف الآلي الخاصة بك بشكل صحیح ، فاتصل بھذا الرقم على الفور. ٠٥٣٠٢٣٩٨٥١ = ٠٥٩٥٧٤٠٥٨٦",1
"نوال عايض, دخل إضافي في الاستثمار عبر النت http://bit/ly/20jvl9k",1
مبروك لقد فزت معانا بملیون ﷼ لاستلام الجائزة نرجو التواصل على,1
"عزیزالعمیل ! تم حظر بطاقة الصراف الألي الخاصة بك، لأنك لم یكن لدیك حتى الآن التحدیث. إذا كنت ترید عمل بطاقة الصراف الألي الخاصة بك بشكل صحیح، فاتصل بھذا الرقم على الفور، ٠٥٣٣٨٦٨٨٧٨",1
"حقق راتب إضافي 38,170 ﷼ على طریقة رنده
https://bit.ly/2MM7tk8",1
"عزیزالعمیل تم حظر بطاقة الصراف الآلي الخاصة بك. لأنك لم یكن لدیك حتى الآن التحدیث. إذا كنت ، .ترید عمل بطاقة الصراف الآلي الخاصة بك بشكل صحیح ، فاتصل بھذا الرقم على الفور ٠٥٦٨٩٧٤٩٣٥=٠٥٦٤٤٨٥٢٥١",1
خاص (*****). افتح حساب استثمار تمیز عبر النت http://bit.ly/2rHkPoj,1
عزیزي كوستومر كنت قد حصلت على جائزة 200000 مئتي ألف ﷼ من ھایبر بنده ماركت جدا تھنئة كبیرة جدا ھذا ھو السحب محظوظ الترویجیة رمضان كریم سعیدة حتى تتمكن من الاتصال بنا على ھذا العدد من 0597136818,1
"عزیزی العمیل حَظِر بَطاَقَة اَلصِراَف اَلخَاصِة بّك اِذْا كُنت تَریدَ تَحدیِث بَطاَقَة ،فَاتصِل ھْذّا
الرَقمّ
0597516278
0594389853",1
"هام غدا المملكة تطلق التوظيف الإلكتروني في عده وزارات وجهات حكومية لكافة الخريجين و الخريجات والشباب السعودي  تنفيذا لروية 2030  

 http://www.2030-jobs.com/2018/11/gov.2020.html  

 ??????اخي المواطن / اختي المواطنة????
قال تعالي( وَتَعَاوَنُوا عَلَى الْبِرِّ وَالتَّقْوَى ) 
*نرجو تكرماً* التعاون مع الباحثين والعاطلين بنشرك اعلان التوظيف للقروبات والحسابات لتعم الفائدة.",1
"مولات ایكیا تقدم قسیمة شرائیة مجاناً بمناسبة عید الأضحى المبارك ومرور 75 سنة * << على تأسیسھا , سارع وأحصل على قسیمتك قبل نفاذ الكمیة من ھنا http://bit.ly/Ikea-Store",1
"راتب إضافي 27,200  بدون ترك عملك! ابدأ الآن https://bit.ly/2DPNgsT",1
عزیزي العمیل نرجو تحریث بیاناتك البنكیة عدم تحدیثھا سیوقف جمیع الخدمات الخاصة بحسابك لتحدیث بیاناتك فورا الرجاء الاتصال على الرقم التالي,1
"عروض مطابخ أبيات عصرية عملية وبأسعار مناسبة
http://bit.ly/2Ho1EdM",1
"حياكم أبيات، الآن أسعار أقل على الأثاث الخارجي
http://bit.ly/2GUuJeX",1
"كتالوج أبيات الجديد للأطقم الصحية والسيراميك
http://bit.ly/2Hl2ypE",1
"تشكيلة أبيات لرمضان 2019 الآن متوفرة
http://bit.ly/2WJJ1DU",1
"500 ريال قسائم شرائية على غرف النوم وخزائن أبيات
http://bit.ly/2VitY7Z",1
"غداً تخفيضات صيف أبيات حتى 75%! اضغط للإطلاع
http://bit.ly/2ZI7DOR",1
"قسيمة 250 ريال لكل 1,000 ريال من قسم الأثاث!
http://bit.ly/2I6ZVYm",1
"تخفيضات أبيات الأكبر غداً حتى %75! اضغط للإطلاع
http://bit.ly/2Qw4ArP",1
"دق الجرس!
عروض المدرسة على المكاتب وغرف النوم وصلت
aby.at/B2SM1",1
"أقوى عروض جمعة مكعب 
خصم حتى 60%
اطلب الآن
https://bit.ly/3gEFtm1",1
"خصم يصل الى 60%
عروض شتاء مكعب لفترة محدودة
https://bit.ly/3I7QZl4",1
"خصومات يوم التأسيس حتى 70%
تسوّق الان: http://bit.ly/3Es2mBP ",1
آخر فرصة! عروض يوم التأسيس على منتجات مختارة اطلب الان: bit.ly/3kt61IV,1
"آخر ساعات! استخدم كود extra10 لخصم إضافي10% على موقعنا
bit.ly/3nvZpIa",1
"آخر يومين لخصم إضافي عند استخدام بطاقات ساب الائتمانية
bit.ly/34BxXSU",1
"لمة رمضان تكمل مع أفضل عروض أجهزة المطبخ والشاشات
bit.ly/3JNNL3X",1
"عيدكم اكسترا مع أفضل العروض على الجوالات والتابلت!
bit.ly/3vuWe6C",1
"لا تروح عليك! ثلاجة كلاس 592 لتر باب واحد ب2699 رس!
bit.ly/39dAWmJ",1
"آخر يومين! لا تفوت التخفيضات الكبرى على جوالك المفضل!
bit.ly/3QbdXtb",1
"ابدأ بداية جديدة واكتشف أفضل عروض منتجاتك المفضلة!
bit.ly/3dJRnJo",1
"خصم إضافي 20% على الشاشات لحاملي بطاقات بنك العربي!
bit.ly/3AqaVtW",1
"متوفر الآن سامسونج جالكسي Fold4 | Flip4 مع هدايا قيمة!
bit.ly/3TNoHQu",1
"اطلب مسبقا iPhone 14 الآن واحصل على ضمان ضد الكسر!
bit.ly/3QEnIiQ",1
"احتفل باليوم الوطني بخصم إضافي على أجهزة المطبخ!
bit.ly/3Lxbl76",1
هدية العيد الخاصة بك!عند التسوق ب250ر وأكثر.تطبق الشروط redtag.la/Sp,1
آخر4 أيام! سارع واشتري 4 منتجات ب90ر فقط!من تشكيلة الصيف redtag.la/Wow,1
"عرض خاص! أسعار أقل من20,15,10ر سارع وتسوق من تشكيلتك! redtag.la/OFFER",1
آخر يوم من عرض اليوم الوطني! ٤ قطع ب٩٢ر فقط. سارع وتسوق redtag.la/3w,1
اشتر2 واحصل 1 مجاناً! تسوق واكتشف تشكيلتك المفضلة اليوم! redtag.la/B2,1
استمتع الان بأسعارنا المخفضة وقسيمة بـ50رعند الشراء بـ250ر redtag.la/W,1
"يا هلا بأهل الشرقية 

مويا آب وصل بشكله الجديد، والتوصيل مجانًا لفترة محدودة.
لا تنسى تحدث التطبيق، وتكتشف عروضنا وميزانتا الجديدة. 

يلا عالتطبيق الجديد؟ 
http://onelink.to/3nx6sn",1
"عميلنا الغالي!

العرض الأقوى في السوق!
نوڤا 330مل*40 حبة بـ 18.5 ريال شامل الضريبة بس!

مثل هالعرض، ما راح تحصّل
لحّق على العرض قبل لا يفوتك:
http://onelink.to/3nx6sn",1
"30 ريال في جيبك!

عميلنا الغالي:
لأنك تستاهل، حبينا نهديك كوبون “M30” يعطيك توصيل مجاني وخصم إضافي 30 ريال على طلبيتك الجاية بحد أدنى 180 ريال في السلة!
الكوبون صالح لـ 3 أيام فقط!

تلحق؟
https://qr.io/r/rF52lm",1
"20 ريال في جيبك!

عشانك غالي:
اطلب 20 كرتون من نوڤا وخذ لك كرتونين مجانًا!
وكوبون ""M2” يخصم لك 20 ريال، بحد أدنى 150 ريال!
الكوبون فعّال لمدة 3 أيام بس.

يلّا عالتطبيق؟
https://qr.io/r/rF52lm",1
"الآن..
تخفيضات شاملة
من 15 - 50%
على جميع المنتجات

بيت الرياضة الفالح",1
"بمناسبة العودة للمدرسة!
قطعة عليك والثانية علينا
وناديك يجيك لحد بيتك",1
"تخفيضات اليوم الوطني
من 15% حتى 70%
على تشكيلة كبيرة من المنتجات",1
"اشتر راحتك مع الأصيل
واطلب ملابس العيد الآن!
https://alaseel.com/",1
" اطلب من متجر الأصيل بكود خصم 20%
WWW.ALASEEL.COM",1
فندق جولدن جاردن الرياض يتمني لكم عيد سعيد للحجز  0112267444,1
"دام عزك يا وطن 
جولدن جاردن الرياض للاجنحة الفندقية 
للحجز 0112267444",1
"خصم 50% على اصناف مختارة
shorturl.at/qCFPS
9200078330",1
"عطرك لبيتك مع خصم خاص وتوصيل مجاني
https://bit.ly/2JdHl0B",1
"آخر يومين
تخفيضات الـ50%
في العربية للعود
shop.arabianoud.com",1
"تمتع بمزايا عديدة لبرنامج تواصل واكتشف منتجاتنا الجديدة بزيارتك لفروعنا او المتجر الالكتروني
Shop.arabianoud.com",1
"الآن تخفيضات 50%
بفروعنا والمتجر الالكتروني
العربية للعود",1
"آخر أيام تخفيضات الـ50%
بفروعنا والمتجر الإلكتروني
العربية للعود",1
"مددنا خصومات 50%
ولفترة محدودة
احصل على عطرك
https://bit.ly/3Fj9qyo",1
"خصومات خيالية!
على شنط الهدايا بالفروع،
وعروض حصرية بالمتجر الإلكتروني",1
"بدأت تخفيضات 50%
بمناسبة يوم التأسيس
من العربية للعود
بالفروع والمتجر",1
"العربية للعود تهنئكم بالشهر الفضيل، خصم 50% بالفروع والمتجر الإلكتروني",1
"آخر أيام تخفيضات 50%
بفروع العربية للعود
https://bit.ly/3Mh6Hte",1
خصم 50%من العربية للعود على العطور وشنط الهدايا https://bit.ly/3QI1Rbb,1
عروض العيد 50%من العربية للعود على أفخم العطور والهدايا bit.ly/3urVj7m,1
"عروض العربية للعود
لليوم الوطني بفروعنا والاونلاين
bit.ly/3wtQWtk",1
"خصم 50%من العربية للعود على العطور وشنط الهدايا والعود
bit.ly/3QM8OrN",1
"صدق أو لا تصدق!

نضمن لك أفضل سعر


https://goo.gl/iuYNnW",1
"فرصتك الاخيرة!
10% كاش باك على عروض الصيف حتى 70% 
t.ly/ciZA",1
 مايرتاح قلبي إلى أن اشوفكم,0
 بسم الله على قلبك الله يريحك بالدنيا و الآخره ومن يقرا,0
 اللهم امين,0
 الحمدلله على وصول وسلامة ابراهيم وجعلها سلامة تامه يارب وماتشوفون شر والله يكتب أجركم,0
 جزاك الله خير يمه ومساء النور والسرور,0
 الله يسلمك من كل شر وجزاك الله خير,0
 واياكم يارب,0
 السلام عليكم وصبحكم الله بالخير والمسرات,0
 الله يحفظ الجميع ويوفقنا لكل خير,0
 عليكم السلام .. الله يصبحك بالخير كله.,0
 اللهم آمين واياك والجميع يارب,0
 الله يجزاك خير يمه,0
 وين هذا,0
 طابا الفيصلية,0
 ماشاءالله والحمدلله,0
 وعليكم السلام يامرحبا,0
 الحمدلله بخير يمال الخير,0
 شلونك انتي,0
 اللهم آمين واياكم,0
 شلون ابوك عساك طيب,0
 الحمدلله احسن وطيب وبخير الله يدون علينا كلنا العافيه,0
 زين قصروا لنا العنوة ,0
 صحيح والا نوم النهار صداع الله يكفينا كل شر ويهدينا,0
 حلوو سميحه شوفي غسالة الصحون,0
 الله يسهل الخير ويجزى عبدالرحمن خير على مشاركة الموقع,0
 شمال العثيم,0
 هذه من السهل الممتنع,0
 عسى دوووم يارب وجميع من يقرا,0
 وياكم يارب,0
 مساء الخيراااات,0
 معذوورة,0
 بني تميم وبني خالد مايتسوون عصير والحمدلله الله يحفظنا,0
 وشلونك يمه وشلونكم جميعاً,0
 الحمدلله بخير شلونك انت,0
 الحمدلله بخير الله يعافيكم,0
 عليكم السلام,0
 سميحه طمنينا شلون الامور,0
 خالد يقول جو كلهم حتى ابراهيم,0
 ايه شفت الاسعاف,0
 جا رد الرياض؟,0
 انا مدري عن شيء,0
 انا شفت الاسعاف برا من شوي,0
 لان خالي يوسف شايف صورته قبل,0
 امي سارة وخالتي منيره وخالي يوسف,0
 نفس اجابة امي,0
 ليش زعلان,0
 مساء الخير كله,0
 الحمدلله بخير جعلكم جميعاً بخير ,0
 يبغى لنا صحون بلاستك يمه,0
 انا عندي صحن وصينية الكورنفليكس اغسلها بنفسي,0
 وعندي ملاعق بلتستيك,0
 يامرحبا وصباحك خير وصباح الجميع يارب,0
 الحمدلله بخير ونعمه شخباركم انتم,0
 الحمدلله دووم يارب,0
 الحمدلله وعسى دوووم,0
 الصلاة بارك الله فيكم,0
 يحث على التربية الاسلامية,0
 زين؟,0
 معنا بالاستراحه اكيد صح؟,0
 ابي شي اكيد,0
 وش ذا,0
 ماعندي لا,0
 ذا؟,0
 لا تدخلني ها,0
 ياكريه,0
 وراك طلعت,0
 بعضدين ضيفني,0
 بكره ولا بعده,0
 بعدين,0
 اي ابد ابشر,0
 بحطها الوان عدله اجل اصبر,0
 انا معاكم بالمشروع,0
 تسمع؟,0
 امش يخوي,0
 جاي ان شاءالله,0
 بشاي سليمان حنا,0
 الدمام,0
 امش اذا تقدر,0
 باكل لي شي,0
 دوبني اقوم,0
 اللي يريحك,0
 متى احطها,0
 شف انا ماعندي فكره وش الصح,0
 لكن اللي سويته,0
 وادخل صفحات الادمن,0
 سويت سويت,0
 انا مضبطها بس تاكيد يعني,0
 بس ذا ما فهمت ايش تقصد,0
 ولد الخال,0
 فزعتك,0
 ارسلي السلايدات بالاه بالامال,0
 حقت ام ماث,0
 ابشر هالحين,0
 ثواني بس,0
 بندراتا ارسلها خلاص,0
 كان قلت,0
 ساعتين يحمل,0
 بشر عسى الامور تمام؟,0
 على كل حال,0
 الحمدلله,0
 دلخال اذا تحتاجيني بشي لا يردك الا لسانك حاضر باي وقت,0
 لا الحمدلله الامور تماما باذن الله,0
 دلخال يمدي امر بوثعلي؟,0
 على ما البس الحين وامره واجيك,0
 الا هي ٩,0
 شرايك؟,0
 احرك امر بوثعلي الحين؟,0
 ع ماتخلص,0
 ربع ساعة وحرك افضل,0
